agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Weak Skill,Weak Skill,Moderate,weak skill,stable,"There is some evidence of edge, but it remains modest. raw p=0.145; BH-adjusted p=0.654; percentile=85.5; RCSI_z=1.061. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.11620428701938268,0.1854080196921628,0.11460423015702555,-0.1319221167841107,0.1723128138859601,1.0611526762972985,0.1454272863568216,0.6536731634182908,0.8373540996503042,85.5072463768116,38,4853,0.00047,False,run_20260403T164931Z_pid91988,38.0,0.1701920247204238,13.078947368421051,18.342105263157897,440.2105263157895,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.581; BH-adjusted p=0.654; percentile=42.0; RCSI_z=-0.239. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.01754338588244997,-0.013366811421050387,-0.011185347484177186,-0.14346420004089266,-0.0304712037262699,-0.238753327366306,0.5807096451774113,0.6536731634182908,0.23604096058189947,41.97901049475262,31,4853,0.00047,False,run_20260403T164931Z_pid91988,31.0,0.1406622689326178,8.96774193548387,12.774193548387096,306.5806451612903,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.327; BH-adjusted p=0.654; percentile=67.3; RCSI_z=0.430. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.015485210289331919,0.050935791644615376,0.03814676698321659,-0.06696746278145893,0.0454259503290344,0.4299964189498725,0.3273363318340829,0.6536731634182908,0.48500578864442845,67.31634182908546,38,4853,0.00047,False,run_20260403T164931Z_pid91988,38.0,0.1917799701542032,6.947368421052632,9.552631578947368,229.26315789473685,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.599; BH-adjusted p=0.654; percentile=40.2; RCSI_z=-0.288. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.060081477138873574,-0.057801074268904414,-0.04262644176207029,-0.1497334147126611,-0.0535900106704666,-0.2882329144206672,0.5987006496751625,0.6536731634182908,0.2227902705829188,40.17991004497751,38,4853,0.00047,False,run_20260403T164931Z_pid91988,38.0,0.174822400241838,16.68421052631579,23.63157894736842,567.1578947368421,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.654; BH-adjusted p=0.654; percentile=34.7; RCSI_z=-0.442. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.0792172160404826,-0.09232432112063767,-0.06987681908304988,-0.162786633885885,-0.076262845120385,-0.442355421916725,0.6536731634182908,0.6536731634182908,0.18463934464796294,34.682658670664665,44,4853,0.00047,False,run_20260403T164931Z_pid91988,44.0,0.2008172139751086,13.181818181818182,18.522727272727273,444.54545454545456,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.440; BH-adjusted p=0.654; percentile=56.0; RCSI_z=0.109. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.009558387585224981,-0.02338392746043231,-0.017359684163737444,-0.06386716094503697,0.0102681339229457,0.1093193070277834,0.440279860069965,0.6536731634182908,0.3562711802241635,56.021989005497254,30,4853,0.00047,False,run_20260403T164931Z_pid91988,30.0,0.143235294117647,5.966666666666667,8.133333333333333,195.2,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.380; BH-adjusted p=0.654; percentile=62.0; RCSI_z=0.305. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.011484748229776631,0.0582111847111584,0.08198458491105387,-0.03395178991933734,0.0179794973074855,0.3049144524474301,0.3803098450774613,0.6536731634182908,0.41986243186563854,62.01899050474763,10,4853,0.00047,False,run_20260403T164931Z_pid91988,10.0,0.0518085106382978,8.1,11.1,266.4,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Random / Luck,Random / Luck,Low,random / luck,stable,"The result is statistically consistent with the null distribution. raw p=0.338; BH-adjusted p=0.654; percentile=66.3; RCSI_z=0.361. Robustness stability: stable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.004653342661601778,0.022615696848497135,0.014032065115497361,-0.09264477165996066,0.0320641879870987,0.3606241362955681,0.3378310844577711,0.6536731634182908,0.47130039269457547,66.26686656671664,49,4853,0.00047,False,run_20260403T164931Z_pid91988,49.0,0.2347611364709586,2.653061224489796,3.63265306122449,87.18367346938776,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
donchian_trend_reentry,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.441; BH-adjusted p=0.654; percentile=55.9; RCSI_z=0.134. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.025214202412635833,0.06043235580198444,0.05805844567534498,-0.09821369358031962,0.0161494354541689,0.1335829982041503,0.44127936031984,0.6536731634182908,0.3552863850586429,55.92203898050975,21,4853,0.00047,False,run_20260403T164931Z_pid91988,21.0,0.0959164915966386,13.333333333333334,18.904761904761905,453.7142857142857,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Random / Luck,Random / Luck,Low,random / luck,moderately variable,"The result is statistically consistent with the null distribution. raw p=0.555; BH-adjusted p=0.654; percentile=44.5; RCSI_z=-0.200. Robustness stability: moderately variable. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.06976204796053509,-0.11646845719787018,-0.05117988015415665,-0.14861926919800383,-0.0287331246950088,-0.2001172384156547,0.5552223888055972,0.6536731634182908,0.2555330296953438,44.527736131934034,90,4853,0.00047,False,run_20260403T164931Z_pid91988,92.0,0.4108240851829633,4.6,6.388888888888889,153.33333333333334,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
