agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z,simulation_count,bh_adjusted_p_value,research_grade
trend_pullback,0.0734596342577096,-0.0594699128060301,-0.0523866587307071,0.1460449632543896,81.00949525237381,0.1258462929884167,0.8616955366629819,2000,0.6336831584207896,False
random,-0.0478281564136371,-0.1846308259950165,-0.1628514481106868,0.2237231479057296,72.41379310344827,0.1150232916970497,0.5141322781025642,2000,0.6336831584207896,False
donchian_trend_reentry,0.0926020181730245,-0.0009694077558462,0.0034766560182748,0.1208499612315829,78.51074462768615,0.0891253621547497,0.7374877182125045,2000,0.6336831584207896,False
mean_reversion_vol_filter,0.0154852102893326,-0.0308906805189632,-0.0289646348488111,0.1070138643347682,68.91554222888556,0.0444498451381437,0.41536529322119053,2000,0.6336831584207896,False
connors_rsi2_pullback,0.0046533426616016,-0.032125621575323,-0.0294614088491404,0.0859004843867994,65.51724137931035,0.034114751510741996,0.39714271408677315,2000,0.6336831584207896,False
volatility_squeeze_breakout,0.011484748229777,-0.0088251701566555,-0.0099029143687207,0.0616704073107384,63.51824087956022,0.0213876625984977,0.346805924123896,2000,0.6336831584207896,False
uptrend_oversold_reversion,-0.0095583875852247,-0.0223287334578646,-0.0192832865347647,0.091788711605751,55.42228885557221,0.009724898949540001,0.10594874663139613,2000,0.6336831584207896,False
adx_trend_following,-0.054508323813248,-0.0436451522874752,-0.0334271990947576,0.1661857094232166,46.87656171914043,-0.0210811247184904,-0.12685281298648962,2000,0.6336831584207896,False
turn_of_month_seasonality,-0.0697620479605346,-0.0463550261070236,-0.0381320004666992,0.1388915622470832,42.82858570714643,-0.031630047493835405,-0.2277319585301133,2000,0.6336831584207896,False
breakout_volume_momentum,-0.0689313329386497,-0.0280459126231273,-0.0221686800095051,0.1197130842020326,36.68165917041479,-0.046762652929144596,-0.3906227397017528,2000,0.6336831584207896,False
trend_momentum_verification,-0.0540069467230307,-0.0135451039422803,2.879753264146312e-05,0.1851925914674081,41.07946026986507,-0.05403574425567216,-0.29178134949951207,2000,0.6336831584207896,False
