agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,execution_cost_model,simulation_count,research_grade,reproducible,seed_used,null_model,bh_adjusted_p_value
trend_pullback,0.5674583126506714,0.3929933032688946,0.454440311264862,0.4388354440389212,64.7176411794103,0.35332333833083457,0.451827674839312,no evidence,-0.1525010409944439,1.26367053132371,116,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.7499821517812523
breakout_volume_momentum,0.06406952251557033,0.1382711028265286,0.1738221403233948,0.3247452676072921,39.63018490754623,0.6041979010494752,0.21882078777543953,no evidence,-0.30031285029517435,0.7665197312859303,86,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8307721139430284
mean_reversion_vol_filter,0.13282497573641036,0.022539718753975792,0.020058489795728312,0.09733712216670917,88.9055472263868,0.11144427786106946,0.9529422255880508,no evidence,-0.14645341040241908,0.17128156586074045,16,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.612943528235882
trend_momentum_verification,0.11534612610595456,0.6566225723850089,0.7487388284526457,0.6215388552073193,13.993003498250875,0.8605697151424287,0.06521394151857546,no evidence,-0.07676324017752496,1.9101723211521937,77,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8855572213893054
adx_trend_following,0.01917775503232315,0.5743019583888243,0.6497661211643033,0.5727534784855935,11.494252873563218,0.8855572213893054,0.05278337108517944,no evidence,-0.12305525847640227,1.690535541012013,92,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8855572213893054
uptrend_oversold_reversion,0.08796928389676816,0.060250174824775155,0.07167313037083906,0.18470692305349468,56.47176411794103,0.4357821089455272,0.3607306037036442,no evidence,-0.21692249189025686,0.3945014196692374,71,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.7499821517812523
volatility_squeeze_breakout,0.10383417213667187,0.09402410891263548,0.10178263475341517,0.19883317684235582,52.32383808095952,0.47726136931534235,0.321243717052465,no evidence,-0.20857994155024737,0.4375574001417226,25,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.7499821517812523
connors_rsi2_pullback,0.4089681383967458,0.03631064302077233,0.04903088298433891,0.17779439372119688,96.55172413793103,0.03498250874562719,1.4561490486219546,strong evidence,-0.21773394981862146,0.35945333208209523,86,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.3848075962018991
donchian_trend_reentry,0.05135941774942754,0.43004569359610884,0.49757019197566693,0.4694231069079222,15.942028985507244,0.841079460269865,0.07516297266038759,no evidence,-0.16948438345675712,1.3546756215183478,73,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8855572213893054
turn_of_month_seasonality,0.5135687601006731,0.16107442095938584,0.2237794431784194,0.37543691965695014,80.40979510244878,0.19640179910044978,0.7068545382607847,no evidence,-0.27660350092377806,0.9421107589703055,195,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.7201399300349824
random,1.1401144771956941,0.9516431709894979,1.1399537615422168,0.9358060703560305,57.87106446776612,0.4217891054472764,0.37490464201055634,no evidence,-0.01202336510443706,2.8312919347546632,231,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.7499821517812523
