signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2005-07-07,1.1945005655288696,EURUSD=X,random,2005-07-08,2005-08-04,1.194400668144226,1.233593225479126,1.194805576339378,1.2333687868826537,random_timing_entry,83692.0,1.9999133658999044,2.064462010235661,2.89005332089306,1.3197200939338698,100000.0,103223.3678414117,99997.66820836111,0.9999766820836111,99995.66829499521,0.9999566829499521,83695.6254475963,3227.4322167878404,3223.367841411705,0.032275720256868104,0.03223507474246297,0.03223367841411705,19,27,648.0,stressed,,,random_time_exit,Daily,1d
2005-08-05,1.2365983724594116,EURUSD=X,random,2005-08-08,2005-08-24,1.2336997985839844,1.223406195640564,1.2341290081621512,1.2230616132996752,random_timing_entry,83637.0,2.064376957113157,2.045864083030899,2.9790439186223563,2.317375160349031,103223.3678414117,102293.61389625866,103220.91223261495,0.9999762107277829,103218.84785565783,0.9999562116035507,83640.66249048841,-925.6437041129042,-929.7539451530482,-0.00896777791404272,-0.00900759855848444,-0.009007204130187706,12,16,384.0,stressed,,,random_time_exit,Daily,1d
2005-08-24,1.227400541305542,EURUSD=X,random,2005-08-25,2005-09-12,1.2272950410842896,1.2402024269104004,1.2275233756171258,1.2400563220814624,random_timing_entry,83329.0,2.0457659073359897,2.0666530652545236,1.360469774525643,0.6782112339268543,102293.61389625866,103333.85937321278,102290.3411327068,0.9999680061792012,102288.29536679947,0.999948007219057,83333.33273171398,1044.3578959267104,1040.2454769541198,0.010209945255043188,0.010169741056138087,0.010169212303019107,12,18,432.0,calm,,,random_time_exit,Daily,1d
2005-09-13,1.2280033826828003,EURUSD=X,random,2005-09-14,2005-09-26,1.2277017831802368,1.202602505683899,1.2280232805708227,1.2021990469402941,random_timing_entry,84143.0,2.0665912579414147,2.0231326881339435,2.118692869802452,2.8560061840976023,103333.85937321278,101156.84115889313,103331.62948832868,0.9999784205787181,103329.56289707073,0.9999584214102899,84146.49869274469,-2172.928490373564,-2177.0182143196394,-0.0210291075414504,-0.021068686959299573,-0.02106781095300876,7,12,288.0,neutral,,,random_time_exit,Daily,1d
2005-10-05,1.2012012004852295,EURUSD=X,random,2005-10-06,2005-10-18,1.2009992599487305,1.201302170753479,1.201200299673801,1.2010833879050709,random_timing_entry,84209.0,2.0230375207046225,2.0228406202419627,1.1739371269800463,1.3215458694310804,101156.84115889313,101142.9502576192,101153.89907275181,0.9999709155989094,101151.87603523111,0.9999509165805778,84213.13346855089,-9.845023132991047,-13.890901273937633,-9.732912051539247e-05,-0.00013732717393298216,-0.00013732043344570594,8,12,288.0,calm,,,random_time_exit,Daily,1d
2005-11-11,1.1735023260116575,EURUSD=X,random,2005-11-14,2005-12-01,1.1735987663269043,1.1798992156982422,1.1737591487187087,1.1796292077329016,random_timing_entry,86166.0,2.022762616169925,2.032878606270264,0.8665862337808292,1.78892234585618,101142.9502576192,101644.6941214137,101140.15357111242,0.999972349170163,101138.13080849625,0.9999523501231605,86170.1059949379,505.79950501694606,501.74386379450584,0.005001076260492405,0.004960976238967194,0.004960739849060404,13,17,408.0,stressed,,,random_time_exit,Daily,1d
2005-12-01,1.1742050647735596,EURUSD=X,random,2005-12-02,2005-12-14,1.1742050647735596,1.1949001550674438,1.1744172618193975,1.1946683071697755,random_timing_entry,86545.0,2.0327988384831954,2.0678513728801646,1.3071549187085625,1.4406884427839854,101644.6941214137,103393.2201910508,101641.97472299825,0.9999732460367069,101639.94192415976,0.9999532469717676,86549.04643001124,1752.6267198484568,1748.5260696370935,0.017243484073969726,0.01720313920428825,0.01720233490543534,8,12,288.0,neutral,,,random_time_exit,Daily,1d
2005-12-15,1.1967018842697144,EURUSD=X,random,2005-12-16,2006-01-10,1.1968021392822266,1.207496166229248,1.197210186718024,1.2072976872745385,random_timing_entry,86358.0,2.0677735460919027,2.085196273553092,2.9094811698953227,1.1439934972263446,103393.2201910508,104260.20359429062,103390.74507814122,0.999976061168179,103388.67730459513,0.9999560620469381,86361.79456047574,871.136373059472,866.9834032398271,0.00842583922892255,0.008385670712137971,0.008385302262931828,17,25,600.0,neutral,,,random_time_exit,Daily,1d
2006-02-23,1.1921935081481934,EURUSD=X,random,2006-02-24,2006-03-10,1.1924067735671997,1.1900936365127563,1.1927052008176913,1.189678041808885,random_timing_entry,87411.0,2.0851110861735043,2.0798189462511294,2.0027302520162147,2.9933376028318484,104260.20359429062,103991.43166813944,104257.63941976138,0.9999754060088045,104255.55430867521,0.9999554069006665,87414.89810123426,-264.6069961187618,-268.77192615118645,-0.0025380613807426044,-0.0025780106195149896,-0.002577895658031351,10,14,336.0,calm,,,random_time_exit,Daily,1d
2006-03-10,1.1911001205444336,EURUSD=X,random,2006-03-13,2006-04-07,1.1922929286956787,1.2214934825897217,1.1925155179111315,1.2213634512351899,random_timing_entry,87199.0,2.0797232129266554,2.1300334316851464,1.3669004075732414,0.5646409502447065,103991.43166813944,106502.7328494194,103988.24036954569,0.999969311908274,103986.16064633276,0.9999493129220155,87203.42008655444,2515.5109379245623,2511.3011812799505,0.024190824262471468,0.02415034044598622,0.02414911633579668,19,25,600.0,calm,,,random_time_exit,Daily,1d
