signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2002-03-21,1494.0,NQ=F,random,2002-03-22,2002-04-11,1495.0,1367.5,1495.4478239650723,1367.2937598201274,random_timing_entry,66.0,1.0,1.0,2.495478027238547,1.008382367661361,100000.0,91539.83176643364,98700.55638169477,0.9870055638169477,98699.55638169477,0.9869955638169476,7072.195,-8458.16823356636,-8460.16823356636,-0.0856961119547144,-0.0857163754703098,-0.0846016823356636,13,20,480.0,neutral,,,random_time_exit,Daily,1d
2002-04-26,1252.0,NQ=F,random,2002-04-29,2002-05-10,1257.0,1246.5,1257.1801373054964,1246.3206605150679,random_timing_entry,72.0,1.0,1.0,0.9330732338610732,0.9389513919959082,91539.83176643364,90755.94943752278,90517.96988599574,0.9888369700848347,90516.96988599574,0.98882604587861,9503.4325,-781.8823289108532,-783.8823289108532,-0.008637964018190378,-0.00866005932255727,-0.0085632922169985,9,11,264.0,neutral,,,random_time_exit,Daily,1d
2002-05-17,1326.0,NQ=F,random,2002-05-20,2002-06-07,1325.5,1121.0,1325.846205770711,1120.718489004878,random_timing_entry,68.0,1.0,1.0,2.1118881230572706,2.011879636893318,90755.94943752278,76805.26469744612,90158.54199240835,0.9934174293936985,90157.54199240835,0.9934064108323127,10853.3425,-13948.684740076655,-13950.684740076655,-0.15471456332794867,-0.15473674671888638,-0.15371647618187756,14,18,432.0,stressed,,,random_time_exit,Daily,1d
2002-06-24,1063.5,NQ=F,random,2002-06-25,2002-07-19,1066.0,994.0,1066.3665368693373,993.7774487758037,random_timing_entry,72.0,1.0,1.0,2.9384321701447536,1.7394473176122955,76805.26469744612,71576.8503547117,76779.39065459228,0.9996631214936141,76778.39065459228,0.9996501015528075,7838.7825,-5226.414342734422,-5228.414342734422,-0.06807142345880648,-0.06809747245492308,-0.06807364525505337,18,24,576.0,neutral,,,random_time_exit,Daily,1d
2002-10-04,820.0,NQ=F,random,2002-10-07,2002-10-28,820.5,993.5,820.6082488762565,993.1538501630033,random_timing_entry,87.0,1.0,1.0,0.8193037934998894,2.985359664466286,71576.8503547117,86586.31766665867,71393.91765223432,0.9974442476642822,71392.91765223432,0.9974302766667453,8717.24,15011.46731194697,15009.46731194697,0.21026549699327451,0.2102374830100144,0.20969723084439884,15,21,504.0,neutral,,,random_time_exit,Daily,1d
2002-11-07,1029.5,NQ=F,random,2002-11-08,2002-11-21,1035.5,1078.0,1035.7444740851845,1077.8545007490366,random_timing_entry,83.0,1.0,1.0,1.8609279110050818,0.8498969560570195,86586.31766665867,90079.44987975838,85967.7913490703,0.9928565351402334,85966.7913490703,0.9928449859714161,13017.505000000001,3495.1322130997214,3493.1322130997214,0.040656771740004226,0.04063350694241653,0.04034277363021298,9,13,312.0,neutral,,,random_time_exit,Daily,1d
2002-11-21,1117.5,NQ=F,random,2002-11-22,2002-12-12,1117.5,1034.5,1117.8063919241283,1034.171599571537,random_timing_entry,80.0,1.0,1.0,2.2417621845928215,2.6754926222990694,90079.44987975838,83386.66649155106,89425.51135393027,0.9927404249615088,89424.51135393027,0.9927293236503737,13047.5575,-6690.78338820731,-6692.78338820731,-0.0748204635049789,-0.07484282873761722,-0.07429867075277549,14,20,480.0,neutral,,,random_time_exit,Daily,1d
2002-12-31,987.0,NQ=F,random,2003-01-02,2003-01-10,992.0,1077.5,992.3059394899154,1077.2346246319105,random_timing_entry,84.0,1.0,1.0,2.584067438663368,1.9634871737460062,83386.66649155106,90518.67604347866,83354.6989171529,0.9996166344603618,83353.6989171529,0.9996046421354245,7171.925,7134.009551927586,7132.009551927586,0.08558719822401926,0.08556320408787436,0.08552937600221995,6,8,192.0,calm,,,random_time_exit,Daily,1d
2003-02-12,958.5,NQ=F,random,2003-02-13,2003-02-21,957.5,1004.5,957.6361503226626,1004.213614981304,random_timing_entry,94.0,1.0,1.0,0.9219354847274859,2.3518336579353845,90518.67604347866,94894.95772139094,90018.79813033028,0.9944776267727528,90017.79813033028,0.9944665793288029,12257.6625,4378.281677912288,4376.281677912288,0.04863795570264104,0.04861573787415001,0.04834672654525169,6,8,192.0,calm,,,random_time_exit,Daily,1d
2003-02-25,998.0,NQ=F,random,2003-02-26,2003-03-11,997.5,967.0,997.6947608914653,966.6720068650641,random_timing_entry,95.0,1.0,1.0,1.4524901400017076,2.8930136862002294,94894.95772139094,91945.79608888282,94782.00228468921,0.998809679255737,94781.00228468921,0.9987991412880304,12214.415,-2947.161632508117,-2949.161632508117,-0.031094434132020118,-0.03111553540708358,-0.03107817004531238,9,13,312.0,calm,,,random_time_exit,Daily,1d
