ticker,fold_id,fold_start,fold_end,agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,number_of_trades,test_bar_count,transaction_cost,simulations_per_run,null_model,execution_cost_model
SPY,fold_60,2024-01-31,2024-07-31,adx_trend_following,1,5001,0.03836015095231793,0.07847058940147811,0.9649000398026082,0.30595112759765947,-0.04165421231565403,0.07744546212531961,0.07276988637071512,0.03888850924174362,21.178821178821178,0.7892107892107892,0.1028069861888772,-0.03440973541839719,-0.8848304059303247,0,0,5,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_60,2024-01-31,2024-07-31,turn_of_month_seasonality,1,5001,0.047440018585187316,0.09747989968192217,2.0078640890224584,0.6136236230379061,-0.020649914189413643,0.022118255579377022,0.022700929632305675,0.02452911102362103,83.81618381618382,0.16283716283716285,0.7882464730753608,0.02473908895288164,1.0085603562664136,0,1,5,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_60,2024-01-31,2024-07-31,random,1,5001,0.07130474765466,0.14823691695189156,1.539708043875119,0.5089998625591243,-0.046759019953672376,0.09071781610335614,0.09130872911105299,0.028802088354824854,27.972027972027973,0.7212787212787213,0.14189687990967953,-0.020003981456392997,-0.6945323273075086,0,0,7,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_61,2024-08-01,2025-01-31,trend_pullback,1,5001,0.08539164011438527,0.17767945383720796,2.178748186088423,0.8899770714753784,-0.034515271923254764,0.02296386425501017,0.024351894527092282,0.04681225207424216,90.30969030969031,0.0979020979020979,1.0092080017868237,0.061039745587292984,1.3039267047115497,0,1,5,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_61,2024-08-01,2025-01-31,random,1,5001,0.007345720574176928,0.014714963543989379,0.21043491668952455,0.08155325485239687,-0.03786513701320149,0.07025501238426701,0.06887425149125355,0.052016789518824276,11.488511488511488,0.8861138861138861,0.05251045764759226,-0.06152853091707662,-1.1828590631263423,0,0,7,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_62,2025-02-03,2025-08-04,random,1,5001,-0.034456040758463535,-0.06794934787914098,-0.19583812644579904,-0.15536004427521674,-0.1385468325339364,0.030354030549684337,0.027959450591226856,0.06225563068733564,17.682317682317684,0.8241758241758241,0.08398012892939358,-0.06241549134969039,-1.002567810503079,0,0,5,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_63,2025-08-05,2026-02-03,turn_of_month_seasonality,1,5001,0.042169181528028954,0.08642475980603281,2.1242724446484913,0.7434145245380616,-0.02478157916031065,0.019214985106110777,0.019541580787693302,0.03276138836057189,74.32567432567433,0.25774225774225773,0.5888143715160885,0.02262760074033565,0.6906789325072626,0,1,6,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_63,2025-08-05,2026-02-03,random,1,5001,0.039246477482584696,0.0803188340844112,1.1304593689482154,1.0645348269662158,-0.04139575812456442,0.04062642554396281,0.03905383114318593,0.03001019247579856,48.35164835164835,0.5174825174825175,0.2861043177340856,0.00019264633939876374,0.006419363672996153,0,0,6,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
QQQ,fold_48,2023-12-27,2024-06-27,adx_trend_following,1,5001,0.026828162144930667,0.054261678397459656,0.5212063899811114,0.2195516347920131,-0.051463869472345714,0.03980467594401581,0.04508858771451854,0.04462497055244264,26.973026973026975,0.7312687312687313,0.13592299642092678,-0.018260425569587874,-0.40919748166844117,0,0,5,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
QQQ,fold_48,2023-12-27,2024-06-27,turn_of_month_seasonality,1,5001,0.07057966354372947,0.1458205038645255,1.8167965435388571,0.6334430813905222,-0.021863563514193718,0.029886745433966445,0.029258853614229814,0.0367027704993578,85.3146853146853,0.14785214785214784,0.8301723620843613,0.04132080992949965,1.1258226386540127,0,1,6,125,0.00047,1000,structure_preserving_random_timing,stochastic_execution_model
