agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,execution_cost_model,simulation_count,research_grade,reproducible,seed_used,null_model,bh_adjusted_p_value
trend_pullback,0.08911705223673458,0.009542307039532584,0.008231993831539414,0.05815929401089095,92.25387306346826,0.07796101949025487,1.10812249028175,weak evidence,-0.08997236639592934,0.10302638625764962,8,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.8575712143928036
breakout_volume_momentum,-0.03433464314761401,0.0026781418393557414,0.003882494051270237,0.03177842641998969,7.9960019990005,0.9205397301349325,0.035957462775381296,no evidence,-0.04539488508181095,0.05709153935050614,4,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
mean_reversion_vol_filter,0.012182338135409657,0.0003632074256644071,-0.0002560036704161273,0.02108936172202249,74.86256871564217,0.2518740629685157,0.5988165521906862,no evidence,-0.0320142393524298,0.03137882640204564,4,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
trend_momentum_verification,-0.016688556062257935,0.020585977051277175,0.021727060355180506,0.06837747053421325,28.035982008995504,0.7201399300349826,0.14258310782222208,no evidence,-0.09046634855694333,0.13541565337264333,9,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
adx_trend_following,-0.06932465816082843,0.024137578243887497,0.025833720725599064,0.07148886367906922,9.045477261369316,0.9100449775112444,0.04093714284129139,no evidence,-0.0908023738101012,0.14170667109127352,8,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
uptrend_oversold_reversion,0.004818846433823859,0.000901498001373734,0.0008352766463753722,0.0394349173295444,54.17291354322838,0.4587706146926537,0.33840440743496897,no evidence,-0.0623010848874407,0.06583876643660479,14,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
volatility_squeeze_breakout,-0.0197199983276549,0.001189634498957056,0.00020734627669919938,0.012851528203985949,5.647176411794104,0.9440279860069966,0.025015130714377793,no evidence,-0.020113627125647016,0.018044927841093836,1,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
connors_rsi2_pullback,0.014074461577646816,0.0007530401977879018,-0.00153545680635868,0.02830041914622835,72.66366816591704,0.27386306846576713,0.5624665301518422,no evidence,-0.048956359971601957,0.03987800176118981,6,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
donchian_trend_reentry,-0.06745701933862695,0.023968776166369173,0.02444757353978529,0.0658531628445691,7.396301849075463,0.9265367316341829,0.03313735882773312,no evidence,-0.08376772768444464,0.1338380096779826,10,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
turn_of_month_seasonality,-0.01860526071990975,0.004849473745133768,0.0042795367784852325,0.05036168898730834,30.584707646176913,0.6946526736631684,0.15823228838211634,no evidence,-0.0779587102992982,0.08450965935236186,13,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
random,-0.15731332412478732,0.009486236320026275,0.010668521941610293,0.08860853924151282,2.2488755622188905,0.9780109945027486,0.009656262978210229,no evidence,-0.13285653358158328,0.15616125543860462,20,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,0.9780109945027486
