ticker,fold_id,fold_start,fold_end,agent,mean_actual_cumulative_return,median_actual_cumulative_return,std_actual_cumulative_return,min_actual_cumulative_return,max_actual_cumulative_return,p25_actual_cumulative_return,p75_actual_cumulative_return,mean_annualized_return,median_annualized_return,std_annualized_return,min_annualized_return,max_annualized_return,p25_annualized_return,p75_annualized_return,mean_annualized_sharpe,median_annualized_sharpe,std_annualized_sharpe,min_annualized_sharpe,max_annualized_sharpe,p25_annualized_sharpe,p75_annualized_sharpe,mean_trade_level_return_ratio,median_trade_level_return_ratio,std_trade_level_return_ratio,min_trade_level_return_ratio,max_trade_level_return_ratio,p25_trade_level_return_ratio,p75_trade_level_return_ratio,mean_max_drawdown,median_max_drawdown,std_max_drawdown,min_max_drawdown,max_max_drawdown,p25_max_drawdown,p75_max_drawdown,mean_p_value,median_p_value,std_p_value,min_p_value,max_p_value,p25_p_value,p75_p_value,mean_p_value_prominence,median_p_value_prominence,std_p_value_prominence,min_p_value_prominence,max_p_value_prominence,p25_p_value_prominence,p75_p_value_prominence,mean_actual_percentile,median_actual_percentile,std_actual_percentile,min_actual_percentile,max_actual_percentile,p25_actual_percentile,p75_actual_percentile,mean_RCSI,median_RCSI,std_RCSI,min_RCSI,max_RCSI,p25_RCSI,p75_RCSI,mean_RCSI_z,median_RCSI_z,std_RCSI_z,min_RCSI_z,max_RCSI_z,p25_RCSI_z,p75_RCSI_z,mean_number_of_trades,proportion_significant_runs,proportion_outperforming_null_runs,number_of_outer_runs,simulations_per_run,test_bar_count,transaction_cost,null_model,execution_cost_model
BTC-USD,fold_11,2025-12-02,2026-01-13,random,-0.08216701467793663,-0.08216701467793663,0.0,-0.08216701467793663,-0.08216701467793663,-0.08216701467793663,-0.08216701467793663,-0.526972151943131,-0.526972151943131,0.0,-0.526972151943131,-0.526972151943131,-0.526972151943131,-0.526972151943131,-2.1112577255035574,-2.1112577255035574,0.0,-2.1112577255035574,-2.1112577255035574,-2.1112577255035574,-2.1112577255035574,-0.5226257115071137,-0.5226257115071137,0.0,-0.5226257115071137,-0.5226257115071137,-0.5226257115071137,-0.5226257115071137,-0.13625996008836683,-0.13625996008836683,0.0,-0.13625996008836683,-0.13625996008836683,-0.13625996008836683,-0.13625996008836683,0.9530469530469531,0.9530469530469531,0.0,0.9530469530469531,0.9530469530469531,0.9530469530469531,0.9530469530469531,0.02088570277522351,0.02088570277522351,0.0,0.02088570277522351,0.02088570277522351,0.02088570277522351,0.02088570277522351,4.795204795204795,4.795204795204795,0.0,4.795204795204795,4.795204795204795,4.795204795204795,4.795204795204795,-0.07099982600572932,-0.07099982600572932,0.0,-0.07099982600572932,-0.07099982600572932,-0.07099982600572932,-0.07099982600572932,-1.695917182303192,-1.695917182303192,0.0,-1.695917182303192,-1.695917182303192,-1.695917182303192,-1.695917182303192,6.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
BTC-USD,fold_12,2026-01-13,2026-02-24,random,-0.2146540502716997,-0.2146540502716997,0.0,-0.2146540502716997,-0.2146540502716997,-0.2146540502716997,-0.2146540502716997,-0.8787254366060214,-0.8787254366060214,0.0,-0.8787254366060214,-0.8787254366060214,-0.8787254366060214,-0.8787254366060214,-5.669705736065294,-5.669705736065294,0.0,-5.669705736065294,-5.669705736065294,-5.669705736065294,-5.669705736065294,-1.0098753231716138,-1.0098753231716138,0.0,-1.0098753231716138,-1.0098753231716138,-1.0098753231716138,-1.0098753231716138,-0.23998263943514553,-0.23998263943514553,0.0,-0.23998263943514553,-0.23998263943514553,-0.23998263943514553,-0.23998263943514553,0.6513486513486514,0.6513486513486514,0.0,0.6513486513486514,0.6513486513486514,0.6513486513486514,0.6513486513486514,0.1861864817473984,0.1861864817473984,0.0,0.1861864817473984,0.1861864817473984,0.1861864817473984,0.1861864817473984,34.96503496503497,34.96503496503497,0.0,34.96503496503497,34.96503496503497,34.96503496503497,34.96503496503497,-0.030543096911977763,-0.030543096911977763,0.0,-0.030543096911977763,-0.030543096911977763,-0.030543096911977763,-0.030543096911977763,-0.43785199285538595,-0.43785199285538595,0.0,-0.43785199285538595,-0.43785199285538595,-0.43785199285538595,-0.43785199285538595,6.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
BTC-USD,fold_14,2026-04-07,2026-05-19,uptrend_oversold_reversion,-0.005145153799779756,-0.005145153799779756,0.0,-0.005145153799779756,-0.005145153799779756,-0.005145153799779756,-0.005145153799779756,-0.043530845911794014,-0.043530845911794014,0.0,-0.043530845911794014,-0.043530845911794014,-0.043530845911794014,-0.043530845911794014,-0.3530643355536414,-0.3530643355536414,0.0,-0.3530643355536414,-0.3530643355536414,-0.3530643355536414,-0.3530643355536414,-0.043232168909750374,-0.043232168909750374,0.0,-0.043232168909750374,-0.043232168909750374,-0.043232168909750374,-0.043232168909750374,-0.042386015409630495,-0.042386015409630495,0.0,-0.042386015409630495,-0.042386015409630495,-0.042386015409630495,-0.042386015409630495,0.6093906093906094,0.6093906093906094,0.0,0.6093906093906094,0.6093906093906094,0.6093906093906094,0.6093906093906094,0.2151042424685516,0.2151042424685516,0.0,0.2151042424685516,0.2151042424685516,0.2151042424685516,0.2151042424685516,39.16083916083916,39.16083916083916,0.0,39.16083916083916,39.16083916083916,39.16083916083916,39.16083916083916,-0.015197107692514927,-0.015197107692514927,0.0,-0.015197107692514927,-0.015197107692514927,-0.015197107692514927,-0.015197107692514927,-0.3504741303410368,-0.3504741303410368,0.0,-0.3504741303410368,-0.3504741303410368,-0.3504741303410368,-0.3504741303410368,7.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
QQQ,fold_02,2025-07-01,2025-12-31,breakout_volume_momentum,-0.04637596819754852,-0.04637596819754852,0.0,-0.04637596819754852,-0.04637596819754852,-0.04637596819754852,-0.04637596819754852,-0.09040458324643852,-0.09040458324643852,0.0,-0.09040458324643852,-0.09040458324643852,-0.09040458324643852,-0.09040458324643852,-2.0537300728296715,-2.0537300728296715,0.0,-2.0537300728296715,-2.0537300728296715,-2.0537300728296715,-2.0537300728296715,-0.8041952813378407,-0.8041952813378407,0.0,-0.8041952813378407,-0.8041952813378407,-0.8041952813378407,-0.8041952813378407,-0.05080672200129088,-0.05080672200129088,0.0,-0.05080672200129088,-0.05080672200129088,-0.05080672200129088,-0.05080672200129088,0.9630369630369631,0.9630369630369631,0.0,0.9630369630369631,0.9630369630369631,0.9630369630369631,0.9630369630369631,0.016357043576487852,0.016357043576487852,0.0,0.016357043576487852,0.016357043576487852,0.016357043576487852,0.016357043576487852,3.796203796203796,3.796203796203796,0.0,3.796203796203796,3.796203796203796,3.796203796203796,3.796203796203796,-0.06704451155775518,-0.06704451155775518,0.0,-0.06704451155775518,-0.06704451155775518,-0.06704451155775518,-0.06704451155775518,-1.9097602634250632,-1.9097602634250632,0.0,-1.9097602634250632,-1.9097602634250632,-1.9097602634250632,-1.9097602634250632,7.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
QQQ,fold_02,2025-07-01,2025-12-31,trend_momentum_verification,-0.05148833017438925,-0.05148833017438925,0.0,-0.05148833017438925,-0.05148833017438925,-0.05148833017438925,-0.05148833017438925,-0.10010906962107446,-0.10010906962107446,0.0,-0.10010906962107446,-0.10010906962107446,-0.10010906962107446,-0.10010906962107446,-1.2733871972606419,-1.2733871972606419,0.0,-1.2733871972606419,-1.2733871972606419,-1.2733871972606419,-1.2733871972606419,-0.593492303919941,-0.593492303919941,0.0,-0.593492303919941,-0.593492303919941,-0.593492303919941,-0.593492303919941,-0.07707930413387454,-0.07707930413387454,0.0,-0.07707930413387454,-0.07707930413387454,-0.07707930413387454,-0.07707930413387454,0.9560439560439561,0.9560439560439561,0.0,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.019522139702475055,0.019522139702475055,0.0,0.019522139702475055,0.019522139702475055,0.019522139702475055,0.019522139702475055,4.495504495504496,4.495504495504496,0.0,4.495504495504496,4.495504495504496,4.495504495504496,4.495504495504496,-0.09548706094229287,-0.09548706094229287,0.0,-0.09548706094229287,-0.09548706094229287,-0.09548706094229287,-0.09548706094229287,-1.5863678526753182,-1.5863678526753182,0.0,-1.5863678526753182,-1.5863678526753182,-1.5863678526753182,-1.5863678526753182,6.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
QQQ,fold_02,2025-07-01,2025-12-31,adx_trend_following,-0.012224878398981343,-0.012224878398981343,0.0,-0.012224878398981343,-0.012224878398981343,-0.012224878398981343,-0.012224878398981343,-0.024245669247058732,-0.024245669247058732,0.0,-0.024245669247058732,-0.024245669247058732,-0.024245669247058732,-0.024245669247058732,-0.30886235545543955,-0.30886235545543955,0.0,-0.30886235545543955,-0.30886235545543955,-0.30886235545543955,-0.30886235545543955,-0.09573713405502933,-0.09573713405502933,0.0,-0.09573713405502933,-0.09573713405502933,-0.09573713405502933,-0.09573713405502933,-0.05401194147864019,-0.05401194147864019,0.0,-0.05401194147864019,-0.05401194147864019,-0.05401194147864019,-0.05401194147864019,0.9400599400599401,0.9400599400599401,0.0,0.9400599400599401,0.9400599400599401,0.9400599400599401,0.9400599400599401,0.026844454052061716,0.026844454052061716,0.0,0.026844454052061716,0.026844454052061716,0.026844454052061716,0.026844454052061716,6.093906093906094,6.093906093906094,0.0,6.093906093906094,6.093906093906094,6.093906093906094,6.093906093906094,-0.06022747413987251,-0.06022747413987251,0.0,-0.06022747413987251,-0.06022747413987251,-0.06022747413987251,-0.06022747413987251,-1.5173209789470905,-1.5173209789470905,0.0,-1.5173209789470905,-1.5173209789470905,-1.5173209789470905,-1.5173209789470905,5.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
QQQ,fold_02,2025-07-01,2025-12-31,uptrend_oversold_reversion,-0.001548798383092631,-0.001548798383092631,0.0,-0.001548798383092631,-0.001548798383092631,-0.001548798383092631,-0.001548798383092631,-0.003088163130162025,-0.003088163130162025,0.0,-0.003088163130162025,-0.003088163130162025,-0.003088163130162025,-0.003088163130162025,-0.025081400198456623,-0.025081400198456623,0.0,-0.025081400198456623,-0.025081400198456623,-0.025081400198456623,-0.025081400198456623,-0.00840744072117651,-0.00840744072117651,0.0,-0.00840744072117651,-0.00840744072117651,-0.00840744072117651,-0.00840744072117651,-0.03628679325710982,-0.03628679325710982,0.0,-0.03628679325710982,-0.03628679325710982,-0.03628679325710982,-0.03628679325710982,0.5774225774225774,0.5774225774225774,0.0,0.5774225774225774,0.5774225774225774,0.5774225774225774,0.5774225774225774,0.2385062390587896,0.2385062390587896,0.0,0.2385062390587896,0.2385062390587896,0.2385062390587896,0.2385062390587896,42.357642357642355,42.357642357642355,0.0,42.357642357642355,42.357642357642355,42.357642357642355,42.357642357642355,-0.0050065200489562214,-0.0050065200489562214,0.0,-0.0050065200489562214,-0.0050065200489562214,-0.0050065200489562214,-0.0050065200489562214,-0.17910602374768744,-0.17910602374768744,0.0,-0.17910602374768744,-0.17910602374768744,-0.17910602374768744,-0.17910602374768744,5.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
QQQ,fold_02,2025-07-01,2025-12-31,random,-0.009192635537502492,-0.009192635537502492,0.0,-0.009192635537502492,-0.009192635537502492,-0.009192635537502492,-0.009192635537502492,-0.018259490274445067,-0.018259490274445067,0.0,-0.018259490274445067,-0.018259490274445067,-0.018259490274445067,-0.018259490274445067,-0.10531083691370612,-0.10531083691370612,0.0,-0.10531083691370612,-0.10531083691370612,-0.10531083691370612,-0.10531083691370612,-0.20130255951860312,-0.20130255951860312,0.0,-0.20130255951860312,-0.20130255951860312,-0.20130255951860312,-0.20130255951860312,-0.08587371472629557,-0.08587371472629557,0.0,-0.08587371472629557,-0.08587371472629557,-0.08587371472629557,-0.08587371472629557,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.06694678963061322,0.06694678963061322,0.0,0.06694678963061322,0.06694678963061322,0.06694678963061322,0.06694678963061322,14.385614385614387,14.385614385614387,0.0,14.385614385614387,14.385614385614387,14.385614385614387,14.385614385614387,-0.04742286658524059,-0.04742286658524059,0.0,-0.04742286658524059,-0.04742286658524059,-0.04742286658524059,-0.04742286658524059,-1.0793297449737822,-1.0793297449737822,0.0,-1.0793297449737822,-1.0793297449737822,-1.0793297449737822,-1.0793297449737822,5.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_03,2025-07-07,2025-12-12,adx_trend_following,-0.02397129361726069,-0.02397129361726069,0.0,-0.02397129361726069,-0.02397129361726069,-0.02397129361726069,-0.02397129361726069,-0.05454561942338976,-0.05454561942338976,0.0,-0.05454561942338976,-0.05454561942338976,-0.05454561942338976,-0.05454561942338976,-1.1488777650176973,-1.1488777650176973,0.0,-1.1488777650176973,-1.1488777650176973,-1.1488777650176973,-1.1488777650176973,-0.3233559295365188,-0.3233559295365188,0.0,-0.3233559295365188,-0.3233559295365188,-0.3233559295365188,-0.3233559295365188,-0.04758673913419209,-0.04758673913419209,0.0,-0.04758673913419209,-0.04758673913419209,-0.04758673913419209,-0.04758673913419209,0.973026973026973,0.973026973026973,0.0,0.973026973026973,0.973026973026973,0.973026973026973,0.973026973026973,0.011875120600703101,0.011875120600703101,0.0,0.011875120600703101,0.011875120600703101,0.011875120600703101,0.011875120600703101,2.797202797202797,2.797202797202797,0.0,2.797202797202797,2.797202797202797,2.797202797202797,2.797202797202797,-0.05046386264112854,-0.05046386264112854,0.0,-0.05046386264112854,-0.05046386264112854,-0.05046386264112854,-0.05046386264112854,-2.032185982352262,-2.032185982352262,0.0,-2.032185982352262,-2.032185982352262,-2.032185982352262,-2.032185982352262,5.0,0.0,0.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_03,2025-07-07,2025-12-12,random,0.0663913584989333,0.0663913584989333,0.0,0.0663913584989333,0.0663913584989333,0.0663913584989333,0.0663913584989333,0.16020595741264132,0.16020595741264132,0.0,0.16020595741264132,0.16020595741264132,0.16020595741264132,0.16020595741264132,2.1536136698680752,2.1536136698680752,0.0,2.1536136698680752,2.1536136698680752,2.1536136698680752,2.1536136698680752,0.6607915063213445,0.6607915063213445,0.0,0.6607915063213445,0.6607915063213445,0.6607915063213445,0.6607915063213445,-0.02557956724804855,-0.02557956724804855,0.0,-0.02557956724804855,-0.02557956724804855,-0.02557956724804855,-0.02557956724804855,0.35264735264735264,0.35264735264735264,0.0,0.35264735264735264,0.35264735264735264,0.35264735264735264,0.35264735264735264,0.4526593720914961,0.4526593720914961,0.0,0.4526593720914961,0.4526593720914961,0.4526593720914961,0.4526593720914961,64.83516483516483,64.83516483516483,0.0,64.83516483516483,64.83516483516483,64.83516483516483,64.83516483516483,0.009788326524457353,0.009788326524457353,0.0,0.009788326524457353,0.009788326524457353,0.009788326524457353,0.009788326524457353,0.3759063242184042,0.3759063242184042,0.0,0.3759063242184042,0.3759063242184042,0.3759063242184042,0.3759063242184042,6.0,0.0,1.0,1,1000,251,0.00047,structure_preserving_random_timing,stochastic_execution_model
